sure,ayet_no,kac_kez,ayet_meali_hutbede_gecen,tema,tarih,hutbe_basligi
Zümer,9,7,Bilenlerle bilmeyenler hiç bir olur mu?,"Eğitim, Teknoloji, Çevre ve Toplumsal Değişim",15.09.2017,BİLENLERLE BİLMEYENLER BİR OLUR MU?
Zümer,9,7,Bilenle bilmeyenin bir olmayacağını,"Eğitim, Teknoloji, Çevre ve Toplumsal Değişim",18.01.2019,MÜSLÜMANLAR İLİM VE MEDENİYETİN ÖNCÜLERİDİR
Zümer,9,7,Hiç bilenlerle bilmeyenler bir olur mu?,İbadet ve Kulluk,30.03.2018,VAHYİN İNSANLIĞA İLK MESAJI: OKU!
İnşirah,5,7,Her zorlukla beraber bir kolaylık vardır.,"Sabır, Tevekkül ve Manevi Olgunluk",03.07.2020,SABRIN SONU SELAMETTİR
İnşirah,5,7,"Şüphesiz zorlukla beraber kolaylık vardır. Gerçekten, zorlukla beraber kolaylık vardır.","Afet, Kriz ve Sağlık",06.08.2021,ZORLUKLAR BİRLİKTE AŞILIR
İnşirah,5,7,Elbette zorluğun yanında bir kolaylık vardır. Muhakkak her zorlukla birlikte bir kolaylık vardır,"Afet, Kriz ve Sağlık",10.02.2023,"GÜN, MİLLETÇE KENETLENME GÜNÜDÜR"
İnşirah,5,7,"Şüphesiz zorlukla beraber bir kolaylık vardır. Gerçekten, zorlukla beraber bir kolaylık vardır.","Ramazan, Oruç ve Bayramlar",13.05.2021,KUDÜS’ÜN ÖZGÜR OLDUĞU BAYRAMLARA
İnşirah,5,7,Şüphesiz her zorlukla beraber bir kolaylık vardır.,"Vatan, Millet ve Tarih",16.12.2016,HER ZORLUKLA BERABER BİR KOLAYLIK VARDIR.
İnşirah,5,7,"Her zorluğun ardından bir kolaylık vardır. Muhakkak ki, her zorluğun ardından bir kolaylık vardır.",İslam Coğrafyası ve Küresel Meseleler,20.10.2023,RAHMET VE SEKİNET MÜJDESİ: İNŞİRÂH SURESİ
İnşirah,5,7,Şüphesiz her zorlukla beraber bir kolaylık vardır.,"Vatan, Millet ve Tarih",23.12.2016,ALLAH’IN YARDIMI MÜMİNLERLE BERABERDİR.
Bakara,187,6,"Onlar sizin için birer elbise, siz de onlar için birer elbisesiniz.","Aile, Çocuk ve Nesil",07.06.2019,"AİLE OLMAK, AİLE KALMAK"
Bakara,187,6,"Eşleriniz, elbisenin bedeni koruduğu gibi sizi haramdan koruyan bir örtüdür; siz de aynı şekilde eşleriniz için bir örtüsünüz.","Aile, Çocuk ve Nesil",07.07.2023,EVLİLİKLERİMİZ KOLAY OLSUN
Bakara,187,6,"Onlar sizin için birer elbise, sizde onlar için birer elbisesiniz","Aile, Çocuk ve Nesil",10.06.2022,BİR YUVA KURALIM
Bakara,187,6,"Eşleriniz, elbisenin bedeni koruduğu gibi sizleri haramdan koruyan bir örtüdür; sizler de aynı şekilde eşleriniz için bir örtüsünüz.","Eğitim, Teknoloji, Çevre ve Toplumsal Değişim",14.02.2025,"MAHREMİYET, İNSANI SAYGIN KILAR"
Bakara,187,6,"Eşleriniz sizin için bir elbisedir, siz de eşleriniz için birer elbisesiniz.","Aile, Çocuk ve Nesil",17.05.2024,AİLEMİZ: HUZUR VE GÜVEN KAYNAĞIMIZ
Bakara,187,6,"Eşleriniz sizin için bir elbisedir, siz de eşleriniz için birer elbisesiniz","Aile, Çocuk ve Nesil",28.10.2022,AİLE OLMAK: İLAHİ LÜTUF
Bakara,286,6,"Ey Rabbimiz! Unutur, ya da yanılırsak bizi sorumlu tutma! Ey Rabbimiz! Bizden öncekilere yüklediğin gibi bize ağır yük yükleme. Ey Rabbimiz! Bize gücümüzün yetmediği şeyleri yükleme! Bizi affet, bizi bağışla ve bize rahmet et! Sen bizim Mevlâmızsın, kâfirler topluluğuna karşı bize yardım et!",İslam Coğrafyası ve Küresel Meseleler,02.02.2024,"RABBİMİZ, MÜMİNLERİ YALNIZ VE YARDIMSIZ BIRAKMAZ"
