satir,durum,skor,eski_sure,eski_ayet_no,yeni_sure,yeni_ayet_no,dipnot_no,dipnot_ref,csv_tarih,hutbe,metin_kaynagi,esleme,alinti
66,dogru,1.0,Bakara,155,Bakara,155,2,"Bakara, 2/155.",22.11.2019,22.11.2019 MUSİBETLER KARŞISINDA MÜMİNİN TAVRI,metinler,baslik_eslesti,"Andolsun ki sizi biraz korku ve açlıkla; mallardan, canlardan ve ürünlerden eksiltmekle sınayacağız. Sabredenleri müjdele!"
67,dogru,1.0,Bakara,155,Bakara,155,1,"Bakara, 2/155.",31.01.2020,31.01.2020 AFETLERE KARŞI BİLİNÇLİ OLALIM,metinler,baslik_eslesti,"Andolsun ki sizi biraz korku ve açlıkla; mallardan, canlardan ve ürünlerden eksiltmekle sınayacağız. Sabredenleri müjdele!"
68,dogru,1.0,Bakara,155,Bakara,155,3,"Bakara, 2/155.",26.02.2021,26.02.2021 ZOR ZAMANLARDA MANEVİYATIMIZDAN DESTEK A,metinler,baslik_eslesti,"Andolsun ki sizi biraz korku ve açlıkla; mallardan, canlardan ve ürünlerden eksiltmekle sınayacağız. Sabredenleri müjdele!"
69,dogru,1.0,Bakara,186,Bakara,186,4,"Bakara, 2/186.",10.02.2017,10.02.2017 MÜMİNCE YAKARIŞIN ADI: DUA,metinler,baslik_eslesti,Bana dua ettiğinde dua edenin dileğine karşılık veririm.
70,dogru,1.0,Bakara,186,Bakara,186,1,"Bakara, 2/186.",10.01.2020,10.01.2020 PEYGAMBERİMİZİN DİLİNDEN DUALAR,metinler,baslik_eslesti,"Kullarım, beni sana sorarlarsa, bilsinler ki, ben onlara çok yakınım. Bana dua edince, dua edenin duasına karşılık veririm. Şu halde kullarım benim davetime uysunlar ve bana iman etsinler ki doğru yolu bulsunlar."
71,dogru,1.0,Bakara,186,Bakara,186,7,"Bakara, 2/186.",03.04.2020,03.04.2020 BERAT GECESİ: AF VE ARINMA VESİLESİ,metinler,baslik_eslesti,"Kullarım, beni senden sorarlarsa, bilsinler ki, gerçekten ben onlara çok yakınım. Bana dua edince, dua edenin duasına cevap veririm. O halde, doğru yolu bulmaları için benim davetime uysunlar, bana iman etsinler."
72,dogru,1.0,Bakara,186,Bakara,186,1,"Bakara, 2/186.",03.05.2024,03.05.2024 DUA: RABBİMİZE SIĞINMANIN SÖZLÜ İFADESİ,metinler,baslik_eslesti,"Kullarım, beni sana sorduklarında, bilsinler ki, ben onlara çok yakınım. Dua edenin duasına karşılık veririm. Öyleyse kullarım davetime uysunlar ve bana iman etsinler ki doğru yolu bulsunlar."
73,dogru,1.0,Fussilet,34,Fussilet,34,1,"Fussilet, 41/34.",11.03.2016,11.03.2016 DÜNYAYI İYİLİK DEĞİŞTİRİR,metinler,baslik_eslesti,"İyilikle kötülük asla bir olmaz. Kötülüğü en güzel bir şekilde iyilikle ortadan kaldır. O zaman göreceksin ki, seninle arasında husumet bulunan kimse sanki sıcak bir dost oluvermiştir."
74,dogru,1.0,Fussilet,34,Fussilet,34,1,"Fussilet, 41/34.",01.02.2019,01.02.2019 RIFK: ALLAH HER İŞTE ZERAFETİ SEVER,metinler,baslik_eslesti,İyilikle kötülük bir olmaz. Sen kötülüğü en güzel şekilde önle. O zaman bir de göreceksin ki seninle arasında düşmanlık bulunan kimse sımsıcak bir dost oluvermiş.
75,dogru,1.0,Fussilet,34,Fussilet,34,3,"Fussilet, 41/34.",08.03.2019,08.03.2019 İYİLİK PAYLAŞTIKÇA ÇOĞALIR,metinler,baslik_eslesti,İyilikle kötülük bir olmaz. Sen kötülüğü iyilikle önle. O zaman göreceksin ki seninle arasında düşmanlık bulunan kimse sımsıcak bir dost oluvermiş!
