satir,durum,skor,eski_kaynak,eski_bolum,yeni_kaynak,yeni_bolum,dipnot_no,dipnot_ref,csv_tarih,hutbe,metin_kaynagi,esleme,alinti
40,dogru,1.0,Tirmizî,Birr,Tirmizî,Birr,5,"Tirmizî, Birr, 75.",26.07.2024,"26.07.2024 CENNET VESİLEMİZ, AİLE BÜYÜKLERİMİZ",metinler,baslik_eslesti,"Bir genç, bir ihtiyara hürmet ederse, Allah da ona yaşlılığında hürmet edecek birisini hazırlar."
41,dogru,1.0,Tirmizî,Birr,Tirmizî,Birr,2,"Tirmizî, Birr, 16.",08.11.2024,08.11.2024 MERHAMET EDEN MERHAMET BULUR,metinler,baslik_eslesti,"Siz yerdekilere merhamet edin ki, göktekiler de size merhamet etsin."
42,dogru,1.0,Tirmizî,Birr,Tirmizî,Birr,4,"Tirmizî, Birr, 85.",14.02.2025,"14.02.2025 MAHREMİYET, İNSANI SAYGIN KILAR",metinler,baslik_eslesti,"…Müslümanların gıybetini yapmayın ve onların gizli hâllerini araştırmayın. Müslüman kardeşinin ayıbını ortaya dökenin, Allah da ayıbını ortaya döker..."
43,dogru,1.0,Tirmizî,Birr,Tirmizî,Birr,8,"Tirmizî, Birr, 33.",04.04.2025,04.04.2025 GÜÇLÜ BİR TOPLUMUN İNŞASINDA ANNE BABANI,metinler,baslik_eslesti,"Hiçbir baba, çocuğuna güzel terbiyeden daha kıymetli bir miras bırakmamıştır."
44,dogru,1.0,Tirmizî,Birr,Tirmizî,Birr,4,"Tirmizî, Birr, 33.",20.06.2025,"20.06.2025 HER YAZ YENİ BİR HEYECAN: CAMİ, ÇOCUK VE",metinler,baslik_eslesti,"Hiçbir anne baba, çocuğuna güzel terbiyeden daha kıymetli bir bağışta bulunmamıştır."
45,dogru,1.0,Tirmizî,Birr,Tirmizî,Birr,5,"Tirmizî, Birr, 3.",08.08.2025,08.08.2025 SILA-İ RAHİMLE BEREKETLENEN TATİL,metinler,baslik_eslesti,"Rabbin hoşnutluğu, anne babanın hoşnutluğuna, Rabbin öfkesi de anne babanın öfkesine bağlıdır."
46,dogru,1.0,Tirmizî,Birr,Tirmizî,Birr,5,"Tirmizî, Birr, 75.",29.08.2025,29.08.2025 ÂLEMLERE RAHMET HZ. MUHAMMED (S.A.S),metinler,baslik_eslesti,"Kim bir yaşlıya yaşından dolayı hürmet ederse, Allah da ona, yaşlılığında hürmet edecek birisini gönderir."
47,dogru,1.0,Tirmizî,Birr,Tirmizî,Birr,5,"Tirmizî, Birr, 33; İbn Hanbel, IV, 77.",05.09.2025,05.09.2025 İLİM HAKKI BİLMEKTİR,metinler,baslik_eslesti,"Hiçbir anne baba, çocuğuna güzel terbiyeden daha kıymetli bir bağışta bulunmamıştır."
48,kirpilmis_duzeltildi,1.0,Müslim,Birr,Müslim,Birr ve Sıla,5,"Müslim, Birr ve Sıla, 30.",19.08.2012,19.08.2012 RAMAZAN BAYRAMI,metinler,baslik_eslesti,Birbirinizle ilgiyi kesmeyin! Birbirinize sırt çevirmeyin! Birbirinize kin gütmeyin! Birbirinize haset etmeyin! Allah'ın size emrettiği gibi kardeş olun!
49,kirpilmis_duzeltildi,1.0,Müslim,Birr,Müslim,Birr ve Sıla,2,"Müslim, Birr ve Sıla, 34.",28.09.2012,28.09.2012 YETER Kİ GÖNÜLLER ENGELLİ OLMASIN,metinler,baslik_eslesti,"Allah sizin görünüşünüze, malınıza, mülkünüze bakmaz; yalnızca kalplerinize ve amellerinize bakar."
50,kirpilmis_duzeltildi,1.0,Müslim,Birr,Müslim,Birr ve Sıla,14,"Müslim, Birr ve Sıla, 34.",12.04.2013,12.04.2013 PEYGAMBERİMİZ VE İNSAN ONURU,metinler,baslik_eslesti,"Allah sizin görünüşünüze, malınıza, mülkünüze bakmaz; yalnızca kalplerinize ve amellerinize bakar."
51,dogru,1.0,Müslim,Birr,Müslim,Birr,1,"Müslim, Birr, 58; Tirmizi, Hudud, 3",31.01.2014,31.01.2014 NASIL BİR KARDEŞLİK?,metinler,baslik_eslesti,"Müslüman, Müslümanın kardeşidir. Ona zulmetmez, onu yalnızlığa terk etmez. Kim din kardeşinin bir ihtiyacını giderirse, Allah da onun ihtiyacını giderir. Kim bir Müslümanın bir sıkıntısını giderirse, Allah da onun kıyamet sıkıntılarından birini giderir…"
52,kirpilmis_duzeltildi,1.0,Müslim,Birr,Müslim,Birr ve sıla,2,"Müslim, Birr ve sıla, 69.",14.02.2014,14.02.2014 AFFETMEK,metinler,baslik_eslesti,"…Allah, affeden bir kulun ancak şerefini artırır…"
53,kirpilmis_duzeltildi,1.0,Müslim,Birr,Müslim,Birr ve Sıla,2,"Müslim, Birr ve Sıla, 105.",04.04.2014,04.04.2014 DOĞRULUK VE SADAKA,metinler,baslik_eslesti,"Doğruluktan ayrılmayın, zira doğruluk sizi iyiliğe, iyilik de cennete götürür. Kişi sürekli doğru söyler ve doğrunun peşinde olursa Allah katında doğrulardan yazılır. Yalandan kaçının, zira yalan sizi kötülüklere götürür. Kişi sürekli yalan söyler, yalanın peşinde olursa Allah katında yalancılardan olduğu yazılır."
54,kirpilmis_duzeltildi,1.0,Müslim,Birr,Müslim,Birr ve Sıla,2,"Müslim, Birr ve Sıla, 66.",27.06.2014,"27.06.2014 KİMSE KİMSESİZ KALMASIN, BU RAMAZAN VE H",metinler,baslik_eslesti,"Müminler birbirlerini sevmede, birbirlerine merhamet etmede ve birbirlerine şefkat göstermede tek bir beden gibidir. O bedenin bir organı (bir mümin) acı çektiği zaman, bedenin diğer (organları/müminler) de uykusuz kalıp acı çekerler."
55,kirpilmis_duzeltildi,1.0,Müslim,Birr,Müslim,Birr ve Sıla,2,"Müslim, Birr ve Sıla, 30.",04.10.2014,04.10.2014 KURBAN BAYRAMI,metinler,baslik_eslesti,Birbirinizle ilgiyi kesmeyin! Birbirinize sırt çevirmeyin! Birbirinize kin gütmeyin! Birbirinize haset etmeyin! Allah'ın size emrettiği gibi kardeş olun!
