satir,durum,skor,eski_kaynak,eski_bolum,yeni_kaynak,yeni_bolum,dipnot_no,dipnot_ref,csv_tarih,hutbe,metin_kaynagi,esleme,alinti
303,dogru,1.0,Müslim,İman,Müslim,İman,3,"Müslim, İman, 164.",29.07.2016,"29.07.2016 EN BÜYÜK BOZGUNCULUK, DİNİN MUAZZEZ DEĞE",metinler,baslik_eslesti,Bizi aldatan bizden değildir
304,dogru,1.0,Müslim,İman,Müslim,İman,2,"Müslim, İman, 93.",28.04.2017,28.04.2017 GÜVEN VE MUHABBET KÖPRÜSÜ: SELAM,metinler,baslik_eslesti,İman etmedikçe cennete giremezsiniz! Birbirinizi sevmedikçe de kâmil anlamda iman etmiş olamazsınız! Size birbirinizi sevmenize vesile olacak bir davranış öğreteyim mi? Aranızda selâmı yayın!
305,dogru,1.0,Müslim,İman,Müslim,İman,1,"Müslim, İman, 164.",17.09.2021,17.09.2021 TİCARET HAYATINDA HELAL HARAM BİLİNCİ,metinler,baslik_eslesti,"Öyleyse insanların görmeleri için ıslak olan kısmı üste koyman gerekmez miydi? Bizi aldatan, bizden değildir!"
306,dipnotsuz,1.0,Müslim,İman,,,,,17.09.2021,17.09.2021 TİCARET HAYATINDA HELAL HARAM BİLİNCİ,metinler,baslik_eslesti,"Eline, diline, beline sahip ol! Kapını, kalbini, alnını açık tut! Eşine, işine, aşına özen göster. Harama bakma, haram yeme, haram içme! Yanlış ölçme, eksik tartma! Dünya malına tamah etme! Kuvvetli iken affetmesini, hiddetli iken yumuşamasını bil!"
307,dogru,1.0,Müslim,İman,Müslim,İman,4,"Müslim, İman, 164.",08.04.2022,08.04.2022 RAMAZAN VE DOĞRULUK,metinler,baslik_eslesti,Bizi aldatan bizden değildir.
308,dogru,1.0,Müslim,İman,Müslim,İman,3,"Müslim, İman, 93.",22.07.2022,22.07.2022 HER CAN MUKADDESTİR,metinler,baslik_eslesti,"İman etmeden cennete giremezsiniz, birbirinizi sevmeden de gerçek anlamda iman etmiş olamazsınız."
309,dogru,1.0,Müslim,İman,Müslim,İman,1,"Müslim, İman, 182.",27.06.2025,27.06.2025 KAMU HAKKI DOKUNULMAZDIR,metinler,baslik_eslesti,Hayır! Ben onu kamu malından çaldığı bir hırka ile cehennemde gördüm.
310,dogru,1.0,Buhârî,İlim,Buhârî,İlim,2,"Buhârî, İlim, 9; Müslim, Kasâme, 30.",05.07.2019,"05.07.2019 NESLİN KORUNMASI: ERDEMLİ BİR NESİL, HUZ",metinler,baslik_eslesti,"Ey insanlar! Bu Zilhicce ayınızda, bu Mekke şehrinizde, bu Kurban Bayramı gününüz nasıl mukaddes ise kanlarınız, mallarınız ve ırzlarınız da aynı şekilde mukaddestir."
311,dogru,1.0,Buhârî,İlim,Buhârî,İlim,3,"Buhârî, İlim, 9; Müslim, Kasâme, 30.",13.09.2019,13.09.2019 HER CAN DOKUNULMAZDIR,metinler,baslik_eslesti,"Bu Zilhicce ayınız, bu Mekke şehriniz, bu arefe gününüz nasıl mukaddes ise, kanlarınız, mallarınız ve ırzlarınız da aynı şekilde mukaddestir, dokunulmazdır."
312,dogru,1.0,Buhârî,İlim,Buhârî,İlim,4,"Buhârî, İlim, 11.",02.07.2021,02.07.2021 DÜĞÜNLERİMİZDE NEBEVÎ ÖLÇÜYE RİAYET EDEL,metinler,baslik_eslesti,"Kolaylaştırın, zorlaştırmayın! Müjdeleyin, nefret ettirmeyin!"
313,dogru,1.0,Buhârî,İlim,Buhârî,İlim,1,"Buhârî, İlim, 9.",19.11.2021,19.11.2021 ŞİDDET İNSAN ONURUYLA ASLA BAĞDAŞMAZ,metinler,baslik_eslesti,"Ey insanlar! Bu Zilhicce ayınız, bu Mekke şehriniz, bu gününüz nasıl mukaddes ise kanlarınız, mallarınız, ırzlarınız, şeref ve namusunuz da aynı şekilde mukaddestir."
314,dogru,1.0,Buhârî,İlim,Buhârî,İlim,1,"Buhârî, İlim, 11.",10.06.2022,10.06.2022 BİR YUVA KURALIM,metinler,baslik_eslesti,"Kolaylaştırın, zorlaştırmayın; müjdeleyin, nefret ettirmeyin!"
315,dogru,1.0,Buhârî,İlim,Buhârî,İlim,4,"Buhârî, İlim, 11.",01.12.2023,"01.12.2023 İNSAN, ÖZÜ İTİBARİYLE DEĞERLİDİR",metinler,baslik_eslesti,"Kolaylaştırın, zorlaştırmayın! Müjdeleyin, nefret ettirmeyin!"
316,dogru,1.0,Buhârî,İlim,Buhârî,İlim,1,"Buhârî, İlim, 9.",01.11.2024,01.11.2024 HER CANIN DOKUNULMAZLIĞI VARDIR,metinler,baslik_eslesti,"Ey insanlar! Bu Zilhicce ayınız, bu Mekke şehriniz, bu arefe gününüz nasıl mukaddes ise canlarınız, mallarınız, ırzlarınız, şeref ve namusunuz da aynı şekilde mukaddestir, dokunulmazdır."
317,kirpilmis_duzeltildi,1.0,Buhârî,İm,Buhârî,İmân,5,"Buhârî, İmân, 5.",27.07.2012,27.07.2012 SEVGİ VE BARIŞ DİLİ: SELÂM,metinler,baslik_eslesti,Yemek yedirmen ve tanıdığın tanımadığın herkese selâm vermendir.
318,kirpilmis_duzeltildi,1.0,Buhârî,İm,Buhârî,İmân,3,"Buhârî, İmân, 7.",13.06.2014,13.06.2014 İMANIN ŞUBELERİ,metinler,baslik_eslesti,Kendi nefsiniz için istediğiniz bir şeyi kardeşiniz için de istemedikçe gerçekten iman etmiş olmazsınız.
319,kirpilmis_duzeltildi,1.0,Buhârî,İm,Buhârî,İmân,3,"Buhârî, İmân, 7.",27.06.2014,"27.06.2014 KİMSE KİMSESİZ KALMASIN, BU RAMAZAN VE H",metinler,baslik_eslesti,Kişi kendisi için istediğini din kardeşi için de istemedikçe tam anlamıyla iman etmiş olamaz.
320,kirpilmis_duzeltildi,1.0,Buhârî,İm,Buhârî,İmân,2,"Buhari, İmân, 39.",08.08.2014,"08.08.2014 SADIK İMAN, SAMİMİ NİYET, SALİH AMEL",metinler,baslik_eslesti,"Dikkat edin! Vücutta öyle bir et parçası vardır ki, o salih yani iyi ve düzgün olursa bütün vücut salih yani iyi ve düzgün olur. O bozulursa bütün vücut bozulur. Dikkat edin! O, kalptir."
321,kirpilmis_duzeltildi,1.0,Buhârî,İm,Buhârî,İmân,2,"Buhârî, İmân, 7.",14.08.2015,14.08.2015 İMANIN TEZAHÜRÜ: FEDAKÂRLIK VE İSÂR,metinler,baslik_eslesti,"Sizden biriniz, kendisi için istediğini mümin kardeşi için de istemedikçe gerçek anlamda iman etmiş olamaz."
322,kirpilmis_duzeltildi,1.0,Buhârî,İm,Buhârî,İmân,2,"Buhârî, İmân, 7.",28.11.2025,28.11.2025 FEDAKÂRLIĞIN ZİRVESİ: ÎSÂR,metinler,baslik_eslesti,Kendiniz için istediğinizi mümin kardeşiniz için de istemedikçe gerçek anlamda iman etmiş olamazsınız
323,kirpilmis_duzeltildi,1.0,Müslim,Zek,Müslim,Zekât,4,"Müslim, Zekât, 19",26.09.2014,26.09.2014 İŞ VE TİCARET AHLAKI-ÂHİLİK,metinler,baslik_eslesti,"Yediği haram, içtiği haram, giydiği haram bir kimsenin duasına Allah cevap verir mi?"
324,kirpilmis_duzeltildi,1.0,Müslim,Zek,Müslim,Zekât,4,"Müslim, Zekât, 19",26.09.2014,26.09.2014 İŞ VE TİCARET AHLAKI-ÂHİLİK,metinler,baslik_eslesti,Emanetleri ehline verin
325,kirpilmis_duzeltildi,1.0,Müslim,Zek,Müslim,Zekât,2,"Müslim, Zekât, 65; Tirmizî,Tefsîru’l-Kur’ân, 2.",02.11.2018,02.11.2018 TEMİZ GIDA TEMİZ NESİL,metinler,baslik_eslesti,"Fakat onun yediği haram, içtiği haram, giydiği haram, gıdası haram idi. Peki, böyle birisinin duası nasıl kabul edilsin?"
326,kirpilmis_duzeltildi,1.0,Müslim,Zek,Müslim,Zekât,2,"Müslim, Zekât, 36.",10.05.2019,10.05.2019 RAMAZAN VE İNFAK,metinler,baslik_eslesti,"Ey Âdemoğlu! İnfak et ki, ben de sana infak edeyim."
327,kirpilmis_duzeltildi,1.0,Müslim,Zek,Müslim,Zekât,2,"Müslim, Zekât, 124.",03.07.2020,03.07.2020 SABRIN SONU SELAMETTİR,metinler,baslik_eslesti,"Kim sabrederse, Allah da ona dayanma gücü verir. Hiç kimseye sabırdan daha hayırlı ve daha geniş bir ikram verilmemiştir."
328,kirpilmis_duzeltildi,1.0,Müslim,Zek,Müslim,Zekât,2,"Müslim, Zekât, 36.",30.04.2021,30.04.2021 İNFAK TOPLUMUN ŞİFASIDIR,metinler,baslik_eslesti,"Ey Âdemoğlu! İnfak et ki, ben de sana infak edeyim."
329,dogru,1.0,İbn Mâce,Sunne,İbn Mâce,Sunne,1,"İbn Mâce, Sunne, 11/4.",02.12.2011,02.12.2011 KERBELA’YI ANLAMAK,metinler,baslik_eslesti,cennet gençlerinin efendileri
330,dogru,1.0,İbn Mâce,Sunne,İbn Mâce,Sunne,2,"İbn Mâce, Sunne, 11/4.",08.11.2013,08.11.2013 MUHARREM AYI VE KERBELÂ,metinler,baslik_eslesti,cennet gençlerinin efendileri
331,tur_hatasi,1.0,İbn Mâce,Sunne,Al-i İmran,147,7,"Âl-i İmrân, 3/147.",22.08.2014,29.08.2014 ZAFERLER ALLAH’TANDIR,metinler,baslik_eslesti+tarih_duzeltildi,"Ey Rabbimiz! Bizim günahlarımızı ve işlerimizdeki taşkınlıklarımızı bağışla! Ayaklarımızı dinin üzere sabit kıl! Ve Kâfirler güruhuna karşı bize yardım eyle, bize zafer ihsan eyle!"
332,dogru,1.0,İbn Mâce,Sunne,İbn Mâce,Sunne,7,"İbn Mâce, Sunne, 23.",22.08.2014,12.09.2014 BİLGİ AHLÂKI,metinler,baslik_eslesti+tarih_duzeltildi,"Allahım! Fayda vermeyen ilimden, kabul edilmeyen duadan, korkmayan kalpten ve doymayan nefisten sana sığınırım."
333,dogru,1.0,İbn Mâce,Sunne,İbn Mâce,Sunne,4,"İbn Mâce, Sunne, 11/4.",23.10.2015,23.10.2015 KERBELÂ’YI DOĞRU ANLAMAK,metinler,baslik_eslesti,cennet gençlerinin efendisi
334,dogru,1.0,İbn Mâce,Sunne,İbn Mâce,Sunne,3,"İbn Mâce, Sunne, 11/4.",07.10.2016,07.10.2016 YÜREKLERİMİZİ SAHRÂ-I KERBELÂ’YA DÖNÜŞTÜ,metinler,baslik_eslesti,cennet gençlerinin efendisi
335,kirpilmis_duzeltildi,1.0,İbn Mâce,İk,İbn Mâce,İkâmet,3,"İbn Mâce, İkâmet, 93.",19.07.2019,19.07.2019 CUMA NAMAZI VE ADABI,metinler,baslik_eslesti,Her kim önemsemediğinden dolayı Cuma namazını üç defa terk ederse kalbi mühürlenir.
336,kirpilmis_duzeltildi,1.0,İbn Mâce,İk,İbn Mâce,İkâme,1,"İbn Mâce, İkâme, 196; Ebû Dâvûd, Salat, 14.",07.02.2020,07.02.2020 KUDÜS İSLAM YURDUDUR,metinler,baslik_eslesti,Kandillerinde kullanılmak maksadıyla oraya zeytinyağı gönderirsin. Böyle yapan da oraya gitmiş gibi olur.
337,kirpilmis_duzeltildi,1.0,İbn Mâce,İk,İbn Mâce,İkâmet,3,"İbn Mâce, İkâmet, 93.",10.09.2021,10.09.2021 CUMA NAMAZI: HAFTALIK BULUŞMAMIZ,metinler,baslik_eslesti,Her kim önemsemediğinden dolayı Cuma namazını üç defa terk ederse kalbi mühürlenir.
338,kirpilmis_duzeltildi,1.0,İbn Mâce,İk,İbn Mâce,İkâmet,8,"İbn Mâce, İkâmet, 93.",09.12.2022,09.12.2022 HAYDİ NAMAZA! HAYDİ KURTULUŞA!,metinler,baslik_eslesti,Her kim önemsemediğinden dolayı Cuma namazını üç defa terk ederse kalbi mühürlenir.
339,kirpilmis_duzeltildi,1.0,İbn Mâce,İk,İbn Mâce,İkâmet,5,"İbn Mâce, İkâmet, 191.",23.02.2024,23.02.2024 BERAT GECESİ: GÜNAHLARDAN ARINMA VESİLES,metinler,baslik_eslesti,"Benden bağışlanma dileyen yok mu, onu bağışlayayım! Benden rızık isteyen yok mu, onu rızıklandırayım! Belaya düçar olan yok mu, ona afiyet vereyim!"
340,kirpilmis_duzeltildi,1.0,İbn Mâce,İk,İbn Mâce,İkâmet,4,"İbn Mâce, İkâmet, 93.",15.11.2024,15.11.2024 ÂDÂB VE ERKÂNIYLA CUMA NAMAZI,metinler,baslik_eslesti,"Kim, önemsemediğinden dolayı Cuma namazını üç defa terk ederse kalbi mühürlenir."
341,kirpilmis_duzeltildi,1.0,Buhârî,Sal,Buhârî,Salât,2,"Buhârî, Salât, 88; Müslim, Birr ve Sıla, 65.",21.08.2015,21.08.2015 BİRLİK VE BERABERLİĞİMİZİN HARCI: KARDEŞ,metinler,baslik_eslesti,"Müminlerin birbirlerine olan bağlılığı, birbirine kenetlenerek inşa edilmiş bir binanın duvarları gibidir."
342,kirpilmis_duzeltildi,1.0,Buhârî,Sal,Buhârî,Salât,2,"Buhârî, Salât, 56.",30.09.2016,30.09.2016 CAMİ VE KİTAP MEDENİYETİ,metinler,baslik_eslesti,"Yeryüzü, bana mescid kılındı; temiz kılındı."
343,kirpilmis_duzeltildi,1.0,Buhârî,Sal,Buhârî,Salât,2,"Buhârî, Salât, 88; Müslim, Birr ve Sıla, 65.",14.07.2017,14.07.2017 SALÂLARIN ŞAHİT OLDUĞU DİRENİŞ: 15 TEMMU,metinler,baslik_eslesti,"Müminler, bir binanın yapı taşları gibidir. Onlar, birbirlerinin hayata tutunmasını temin ederler."
344,kirpilmis_duzeltildi,1.0,Buhârî,Sal,Buhârî,Salât,4,"Buhârî, Salât, 88.",24.03.2023,24.03.2023 RAMAZAN VE DAYANIŞMA,metinler,baslik_eslesti,Müminler tuğlaları birbirine sımsıkı kenetlenmiş bir bina gibidir.
345,kirpilmis_duzeltildi,1.0,Buhârî,Sal,Buhârî,Salât,2,"Buhârî, Salât, 88.",19.01.2024,"19.01.2024 BİZİ GÜÇLÜ KILAN, BİRLİK VE BERABERLİĞİM",metinler,baslik_eslesti,"Müminler, birbirini destekleyen bir binanın tuğlaları gibidir."
346,kirpilmis_duzeltildi,1.0,Buhârî,Tal,Buhârî,Talâk,6,"Buhârî, Talâk, 25.",29.03.2013,29.03.2013 SOKAĞIN YETİMLERİ: ÇOCUKLARIMIZ,metinler,baslik_eslesti,"Ben ve yetime kol kanat geren kimse, cennette yan yana olacağız."
347,kirpilmis_duzeltildi,1.0,Buhârî,Tal,Buhârî,Talâk,2,"Buhârî, Talâk, 25.",11.07.2014,11.07.2014 KİMSESİZLERİN KİMSESİ OLABİLMEK,metinler,baslik_eslesti,Ben ve yetime kol kanat geren kimse cennette yan yana olacağız.
348,kirpilmis_duzeltildi,1.0,Buhârî,Tal,Buhârî,Talâk,4,"Buhârî, Talâk, 25.",23.04.2021,23.04.2021 YETİM: CENÂB-I HAKK’IN İNSANLIĞA EMANETİ,metinler,baslik_eslesti,"Ben ve yetime kol kanat geren kimse, cennette böyle yan yana olacağız"
349,kirpilmis_duzeltildi,1.0,Buhârî,Tal,Buhârî,Talâk,5,"Buhârî, Talâk, 25.",29.03.2024,29.03.2024 KARDEŞLİĞİMİZ ZEKÂTLA BEREKETLENSİN,metinler,baslik_eslesti,"İşaret parmağıyla orta parmağını göstererek, ben ve yetime kol kanat geren kimse cennette böyle yan yana olacağız."
350,kirpilmis_duzeltildi,1.0,Buhârî,Tal,Buhârî,Talâk,6,"Buhârî, Talâk, 25.",29.08.2025,29.08.2025 ÂLEMLERE RAHMET HZ. MUHAMMED (S.A.S),metinler,baslik_eslesti,"İşaret parmağıyla orta parmağını bir arada göstererek, ben ve yetime kol kanat geren kimse cennette böyle yan yana olacağız."
351,kirpilmis_duzeltildi,1.0,Buhârî,Tefs,Buhârî,Tefsîr,1,"Buhârî, Tefsîr, Şu’arâ, 2; Müslim, Îmân, 355.",05.08.2016,05.08.2016 KULLUK SADECE ALLAH’A ÖZGÜDÜR,metinler,baslik_eslesti,Ben sizi elîm bir azaba karşı uyarıyorum.
352,kirpilmis_duzeltildi,1.0,Buhârî,Tefs,Buhârî,Tefsîr,1,"Buhârî, Tefsîr, Şu’arâ, 2; Müslim, Îmân, 355.",14.04.2017,14.04.2017 HZ. PEYGAMBER VE GÜVEN TOPLUMU,metinler,baslik_eslesti,Ben sizi elîm bir azaba karşı uyarıyorum.
353,kirpilmis_duzeltildi,1.0,Buhârî,Tefs,Buhârî,Tefsîr,1,"Buhârî, Tefsîr, 74 (1-5); Müddessir, 74/1-5.",06.03.2020,"06.03.2020 ALLAH TEMİZDİR, TEMİZLİĞİ SEVER",metinler,baslik_eslesti,Ey örtüsüne bürünen! Kalk ve uyar! Sadece Rabbinin büyüklüğünü dile getir. Elbiseni tertemiz tut ve her türlü pislikten uzak dur.
354,kirpilmis_duzeltildi,1.0,Buhârî,Tefs,Buhârî,Tefsîr,1,"Buhârî, Tefsîr, (Fâtiha), 1.",08.01.2021,08.01.2021 FÂTİHA SÛRESİ: KUR’AN’IN MUKADDİMESİ,metinler,baslik_eslesti,"Bu sûre, yedi ayetten oluşan, namazlarda tekrar tekrar okunan Fâtiha sûresidir."
355,kirpilmis_duzeltildi,1.0,Buhârî,Tefs,Buhârî,Tefsîr,1,"Buhârî, Tefsîr, Şu’arâ, 2; Müslim, Îmân, 355.",12.11.2021,12.11.2021 İBADET: ALLAH İLE KUL ARASINDAKİ KUTLU B,metinler,baslik_eslesti,Ben sizi elîm bir azaba karşı uyarıyorum.
356,kirpilmis_duzeltildi,1.0,Buhârî,Zek,Buhârî,Zekât,3,"Buhârî, Zekât, 30; Müslim, Zekât, 55.",19.06.2015,19.06.2015 VAKİT İYİLİK VAKTİ: BU RAMAZAN VE HER ZA,metinler,baslik_eslesti,"Böyleleri iyilik yapsın, kendisini kötülükten alıkoysun. Çünkü bu da onun için bir sadakadır."
357,kirpilmis_duzeltildi,1.0,Buhârî,Zek,Buhârî,Zekât,7,"Buhârî, Zekât, 10.",24.06.2016,24.06.2016 ARINMA VESİLESİ: ZEKÂT VE İNFAK,metinler,baslik_eslesti,Yarım hurmayla da olsa cehennemden korunun.
358,kirpilmis_duzeltildi,1.0,Buhârî,Zek,Buhârî,Zekât,2,"Buhârî, Zekât, 63; Müslim, Îmân, 29",18.05.2018,18.05.2018 DİNMEYEN YARAMIZ: KUDÜS,metinler,baslik_eslesti,...Mazlumun bedduasından sakın. Çünkü onunla Allah arasında perde yoktur.
359,alinti_bulunamadi,0.26,Buhârî,Zek,,,,,18.09.2020,18.09.2020 BEREKET: MANEVİ BOLLUK,metinler,baslik_eslesti,"Bu dünya malı göz alıcı ve tatlıdır. Kim bu mala cömert bir gönülle sahip olursa, malı bereketlenir. Ama kim de hırs ve tamah dolu bir kalple bu malı isterse, malının bereketi kaçar."
360,kirpilmis_duzeltildi,1.0,Buhârî,Zek,Buhârî,Zekât,5,"Buhârî, Zekât, 63.",13.12.2024,13.12.2024 HER ZORLUKTAN SONRA KOLAYLIK VARDIR,metinler,baslik_eslesti,Mazlumun bedduasından sakın! Çünkü onunla Allah arasında hiçbir perde yoktur.
361,dogru,1.0,Dârimî,Mukaddime,Dârimî,Mukaddime,3,"Dârimî, Mukaddime, 26.",18.01.2019,18.01.2019 MÜSLÜMANLAR İLİM VE MEDENİYETİN ÖNCÜLERİ,metinler,baslik_eslesti,"Ya öğreten ol, ya öğrenen ol, ya dinleyen ol, ya da ilmi destekleyen ol. Beşincisi olma, helâk olursun!"
362,dogru,1.0,Dârimî,Mukaddime,Dârimî,Mukaddime,2,"Dârimî, Mukaddime, 32.",08.09.2023,"08.09.2023 İLİM YOLU, CENNET YOLUDUR",metinler,baslik_eslesti,"Ben, bir öğretmen olarak gönderildim."
363,dogru,1.0,Dârimî,Mukaddime,Dârimî,Mukaddime,8,"Dârimî, Mukaddime, 26.",08.09.2023,"08.09.2023 İLİM YOLU, CENNET YOLUDUR",metinler,baslik_eslesti,"Ya öğreten ol, ya öğrenen ol, ya dinleyen ol, ya da ilmi destekleyen ol. Beşincisi olma, helâk olursun!"
364,dogru,1.0,Dârimî,Mukaddime,Dârimî,Mukaddime,5,"Dârimî, Mukaddime, 32.",06.09.2024,"06.09.2024 İLİM VE EĞİTİM, AHLAKLA YÜCELİR",metinler,baslik_eslesti,"Ben, bir öğretmen olarak gönderildim."
365,dogru,1.0,Dârimî,Mukaddime,Dârimî,Mukaddime,3,"Dârimî, Mukaddime, 26.",05.09.2025,05.09.2025 İLİM HAKKI BİLMEKTİR,metinler,baslik_eslesti,"Ya öğreten ol, ya öğrenen ol, ya dinleyen ol, ya da ilmi destekleyen ol. Beşincisi olma, helâk olursun!"
366,kirpilmis_duzeltildi,1.0,Ebû Dâvûd,Zek,Ebû Dâvûd,Zekât,2,"Ebû Dâvûd, Zekât, 38.",19.06.2015,19.06.2015 VAKİT İYİLİK VAKTİ: BU RAMAZAN VE HER ZA,metinler,baslik_eslesti,"Allah için size sığınan kimseye sığınak olun. Allah için isteyen kimseye verin. Sizi davet edene icabet edin. Size bir iyilik yapana karşılığını verin. Eğer karşılık verecek bir şey bulamazsanız, -karşılıkta bulunduğunuza kanaat getirinceye kadar- ona dua edin."
367,kirpilmis_duzeltildi,1.0,Ebû Dâvûd,Zek,Ebû Dâvûd,Zekât,4,"Ebû Dâvûd, Zekât, 38.",17.07.2020,"17.07.2020 KURBANINI PAYLAŞ, KARDEŞİNLE YAKINLAŞ",metinler,baslik_eslesti,"Allah için size sığınan kimseye sığınak olun. Allah için isteyen kimseye verin. Sizi davet edene icabet edin, size bir iyilik yapana karşılığını verin. Eğer onun karşılığını verecek bir şey bulamazsanız, karşılıkta bulunduğunuza kanaat getirinceye kadar dua edin."
368,kirpilmis_duzeltildi,1.0,Ebû Dâvûd,Zek,Ebû Dâvûd,Zekât,2,"Ebû Dâvûd, Zekât, 32.",15.04.2022,15.04.2022 ZEKÂT VE İNFAK: İSLAM’IN KARDEŞLİK KÖPRÜ,metinler,baslik_eslesti,"Allah, zekâtı ancak mallarınızın kalan kısmını temizlemek için farz kıldı."
369,kirpilmis_duzeltildi,1.0,Ebû Dâvûd,Zek,Ebû Dâvûd,Zekât,2,"Ebû Dâvûd, Zekât, 32.",29.03.2024,29.03.2024 KARDEŞLİĞİMİZ ZEKÂTLA BEREKETLENSİN,metinler,baslik_eslesti,"Allah, zekâtı ancak mallarınızın kalan kısmını temizlemek için farz kıldı."
370,kirpilmis_duzeltildi,1.0,Ebû Dâvûd,Zek,Ebû Dâvûd,Zekât,6,"Ebû Dâvûd, Zekât, 45.",12.09.2025,12.09.2025 PEYGAMBERİMİZ VE AİLE AHLAKI,metinler,baslik_eslesti,"Ailesine karşı sorumluklarını ihmal etmesi, kişiye günah olarak yeter."
371,kirpilmis_duzeltildi,1.0,Tirmizî,Diy,Tirmizî,Diyât,3,"Tirmizî, Diyât, 7.",16.12.2016,16.12.2016 HER ZORLUKLA BERABER BİR KOLAYLIK VARDIR,metinler,baslik_eslesti,"Bir Müslümanın öldürülmesi, Allah katında dünyanın yok olmasından daha vahimdir."
372,kirpilmis_duzeltildi,1.0,Tirmizî,Diy,Tirmizî,Diyât,2,"Tirmizî, Diyât, 14.",07.04.2023,07.04.2023 İHSAN BİLİNCİ: KULLUĞUN ZİRVESİ,metinler,baslik_eslesti,Allah her şeyin en güzel şekilde yapılmasını emretmiştir.
373,kirpilmis_duzeltildi,1.0,Tirmizî,Diy,Tirmizî,Diyât,1,"Tirmizî, Diyât, 14.",02.02.2024,"02.02.2024 RABBİMİZ, MÜMİNLERİ YALNIZ VE YARDIMSIZ ",metinler,baslik_eslesti,Allah her şeyin en güzel şekilde yapılmasını emretmiştir.
374,kirpilmis_duzeltildi,1.0,Tirmizî,Diy,Tirmizî,Diyât,5,"Tirmizî, Diyât, 14.",07.03.2025,07.03.2025 İYİLİK AYI RAMAZAN,metinler,baslik_eslesti,"Allah, her işte iyiliği emretmiştir."
375,kirpilmis_duzeltildi,1.0,Tirmizî,Diy,Tirmizî,Diyât,2,"Tirmizî, Diyât, 14.",06.06.2025,06.06.2025 KURBAN BAYRAMI: ALLAH’IN KULLARINA İHSAN,metinler,baslik_eslesti,Allah her şeyin en güzel şekilde yapılmasını emretmiştir.
376,dogru,1.0,Tirmizî,İman,Tirmizî,İman,2,"Tirmizi, İman, 12.",13.07.2018,13.07.2018 MİLLETÇE YENİDEN DOĞUŞ: 15 TEMMUZ,metinler,baslik_eslesti,"Müslüman, elinden ve dilinden diğer Müslümanların güvende oldukları kişidir. Mümin, canları ve malları hususunda insanların kendisinden emin oldukları kişidir."
377,dogru,1.0,Tirmizî,İman,Tirmizî,İman,2,"Tirmizî, İman, 12.",09.08.2019,09.08.2019 MÜMİN: HUZURLU TOPLUMUN TEMİNATI,metinler,baslik_eslesti,"Müslüman, diğer Müslümanların elinden ve dilinden güvende olduğu kimsedir. Mümin de insanların canları ve malları konusunda kendisine karşı emniyet hissettikleri kişidir."
378,dogru,1.0,Tirmizî,İman,Tirmizî,İman,5,"Tirmizî, İman, 12.",22.07.2022,22.07.2022 HER CAN MUKADDESTİR,metinler,baslik_eslesti,"Müslüman, diğer Müslümanların elinden ve dilinden emin olduğu kimsedir. Mümin de insanların canları ve malları konusunda kendisine karşı güven hissettikleri kişidir."
379,dogru,1.0,Tirmizî,İman,Tirmizî,İman,2,"Tirmizî, İman, 12.",05.07.2024,05.07.2024 ZARÛRÂT-I HAMSEYİ MUHAFAZA EDELİM,metinler,baslik_eslesti,"Müslüman, diğer Müslümanların elinden ve dilinden güvende olduğu kimsedir. Mümin de insanların canları ve malları konusunda kendisine karşı emniyet hissettikleri kişidir."
380,dogru,1.0,Tirmizî,İman,Tirmizî,İman,1,"Tirmizî, İman, 12; İbn. Hanbel, VI, 22.",21.11.2025,21.11.2025 ŞİDDETİN ÇARESİ MERHAMET EĞİTİMİ,metinler,baslik_eslesti,"Müslüman, elinden ve dilinden insanların güvende olduğu kişidir."
381,dogru,1.0,İbn Mâce,Zühd,İbn Mâce,Zühd,5,"İbn Mâce, Zühd, 17.",25.01.2019,25.01.2019 İSLAM AHLÂKININ ÖZÜ HAYÂDIR,metinler,baslik_eslesti,İslâm ahlâkının özü hayâdır
382,dogru,1.0,İbn Mâce,Zühd,İbn Mâce,Zühd,1,"İbn Mâce, Zühd, 19.",24.12.2021,24.12.2021 AHİRET DAHA HAYIRLI VE SÜREKLİDİR,metinler,baslik_eslesti,Kardeşlerim! Ölüm için hazırlık yapın.
383,dogru,1.0,İbn Mâce,Zühd,İbn Mâce,Zühd,2,"İbn Mâce, Zühd, 30.",07.01.2022,07.01.2022 TÖVBE: GÜNAHLARDAN ARINMA İRADESİ,metinler,baslik_eslesti,"Günahından tövbe eden, hiç günahı olmayan kimse gibidir."
384,dogru,1.0,İbn Mâce,Zühd,İbn Mâce,Zühd,1,"İbn Mâce, Zühd, 31.",01.07.2022,01.07.2022 AHİRET GÜNÜ VE HESAP VERME BİLİNCİ,metinler,baslik_eslesti,"Müminlerin en akıllıları, ölümü en çok hatırlayanlar ve ölümden sonrası için en güzel şekilde hazırlananlardır."
385,dogru,1.0,İbn Mâce,Zühd,İbn Mâce,Zühd,4,"İbn Mâce, Zühd, 30.",27.12.2024,"27.12.2024 HATA YAPANLARIN EN HAYIRLISI, HATASINA T",metinler,baslik_eslesti,Âdemoğullarının hepsi hata yapar; hata yapanların en hayırlısı ise hatasına tövbe edendir.
