hafta_id,tarih,dini_gun,siyasi_olay,kriz_olayi,olay_notu
2021-2105,21.05.2021,,,COVID-19 pandemisi (yoğun dönem),
2021-2805,28.05.2021,,,COVID-19 pandemisi (yoğun dönem),
2021-0406,04.06.2021,,,COVID-19 pandemisi (yoğun dönem),
2021-1106,11.06.2021,,,COVID-19 pandemisi (yoğun dönem),
2021-1806,18.06.2021,,,COVID-19 pandemisi (yoğun dönem),
2021-2506,25.06.2021,,,COVID-19 pandemisi (yoğun dönem),
2021-0207,02.07.2021,,,,
2021-0907,09.07.2021,,,,
2021-1607,16.07.2021,Kurban Bayramı,,,
2021-2007,20.07.2021,Kurban Bayramı,,,
2021-2307,23.07.2021,Kurban Bayramı,,,
2021-3007,30.07.2021,,,Orman yangınları (Akdeniz-Ege),
2021-0608,06.08.2021,,,Orman yangınları (Akdeniz-Ege),
2021-1308,13.08.2021,,,,
2021-2008,20.08.2021,,,,
2021-2708,27.08.2021,,,,
2021-0309,03.09.2021,,,,
2021-1009,10.09.2021,,,,
2021-1709,17.09.2021,,,,
2021-2409,24.09.2021,,,,
2021-0110,01.10.2021,,,,
2021-0810,08.10.2021,,,,
2021-1510,15.10.2021,Mevlid Kandili,,,
2021-2210,22.10.2021,Mevlid Kandili,,,
2021-2910,29.10.2021,,,,
2021-0511,05.11.2021,,,,
2021-1211,12.11.2021,,,,
2021-1911,19.11.2021,,,,
2021-2611,26.11.2021,,,,
2021-0312,03.12.2021,,,,
2021-1012,10.12.2021,,,,
2021-1712,17.12.2021,,,Kur şoku (Aralık 2021),
2021-2412,24.12.2021,,,Kur şoku (Aralık 2021),
2021-3112,31.12.2021,,,Kur şoku (Aralık 2021),
2022-0701,07.01.2022,,,Kur şoku (Aralık 2021),
2022-1401,14.01.2022,,,Kur şoku (Aralık 2021),
2022-2101,21.01.2022,,,,
2022-2801,28.01.2022,Regaib Kandili,,,
2022-0402,04.02.2022,Regaib Kandili,,,
2022-1102,11.02.2022,,,,
2022-1802,18.02.2022,,,,
2022-2502,25.02.2022,Miraç Kandili,,,
2022-0403,04.03.2022,Miraç Kandili,,,
2022-1103,11.03.2022,,,,
2022-1803,18.03.2022,Berat Kandili,,,Berat Kandili tarihi yaklaşık (±1 gün)
2022-2503,25.03.2022,,,,
2022-0104,01.04.2022,Ramazan başlangıcı,,,
2022-0804,08.04.2022,Ramazan başlangıcı,,,
2022-1504,15.04.2022,Ramazan içi,,,
2022-2204,22.04.2022,Kadir Gecesi,,,
2022-2904,29.04.2022,Kadir Gecesi; Ramazan Bayramı,,,
2022-0205,02.05.2022,Kadir Gecesi; Ramazan Bayramı,,,
2022-0605,06.05.2022,Ramazan Bayramı,,,
2022-1305,13.05.2022,,,,
2022-2005,20.05.2022,,,,
2022-2705,27.05.2022,,,,
2022-0306,03.06.2022,,,,
2022-1006,10.06.2022,,,,
2022-1706,17.06.2022,,,,
2022-2406,24.06.2022,,,,
2022-0107,01.07.2022,,,,
2022-0807,08.07.2022,Kurban Bayramı,,,
2022-0907,09.07.2022,Kurban Bayramı,,,
2022-1507,15.07.2022,Kurban Bayramı,,,
2022-2207,22.07.2022,,,,
2022-2907,29.07.2022,,,,
2022-0508,05.08.2022,,,,
2022-1208,12.08.2022,,,,
2022-1908,19.08.2022,,,,
2022-2608,26.08.2022,,,,
2022-0209,02.09.2022,,,,
2022-0909,09.09.2022,,,,
2022-1609,16.09.2022,,,,
2022-2309,23.09.2022,,,,
2022-3009,30.09.2022,,,,
2022-0710,07.10.2022,Mevlid Kandili,,,
